id,"title","subtitle","image",time,"story","production","release","created_at","updated_at"
173,"レッド・スパロー","Red Sparrow","https://d2ueuvlup6lbue.cloudfront.net/attachments/4b39232a988300fbc28c3a5285ce58f299cbf730/store/fitpad/260/364/4a02fd8720d2c748150788d8c40ae3300bb7a4d093bedda7d862096a615d/%E3%80%8E%E3%83%AC%E3%83%83%E3%83%89%E3%83%BB%E3%82%B9%E3%83%91%E3%83%AD%E3%83%BC%E3%80%8F%E3%83%9D%E3%82%B9%E3%82%BF%E3%83%BC%E7%94%BB%E5%83%8F.jpg",145,"バレリーナのドミニカは、事故によりその道を絶たれてしまう。失意のドミニカは、母を守るために自分の意に反して、ロシア政府が極秘裏に組織した諜報機関の一員になることを決意する。そこで彼女は、自分の肉体を使った誘惑や、心理操作などを駆使して情報を盗み出す女スパイ＜スパロー＞になるための訓練を受ける。そして、持ち前の美貌と明晰な頭脳で頭角を表したドミニカは、ロシアの機密事項を調査するCIA捜査官ナッシュ…バレリーナのドミニカは、事故によりその道を絶たれてしまう。失意のドミニカは、母を守るために自分の意に反して、ロシア政府が極秘裏に組織した諜報機関の一員になることを決意する。そこで彼女は、自分の肉体を使った誘惑や、心理操作などを駆使して情報を盗み出す女スパイ＜スパロー＞になるための訓練を受ける。そして、持ち前の美貌と明晰な頭脳で頭角を表したドミニカは、ロシアの機密事項を調査するCIA捜査官ナッシュに近づくミッションを受ける。２人のスパイは互いに惹かれ合いながらも、騙し合いの連鎖へと陥り、自分たちのキャリアや忠誠、そして、国の安全までも脅かすことになりかねない予測不能のストーリー展開になっていく。","2017年","2018-03-30","2018-02-21 09:01:17","2018-02-21 09:01:17"
174,"リメンバー・ミー","Coco","https://d2ueuvlup6lbue.cloudfront.net/attachments/49264d707a0167074b7f554ae40fed957725abd1/store/fitpad/260/364/1b3f9379d8a8b3abbe6abc9a35e5ceff884b362f37331943f001f5add8cf/64777.jpg",105,"主人公ミゲルは、音楽が大好きなギターの天才少年。しかし、過去の悲しい出来事がきっかけで彼の一族には「音楽禁止」の厳しい掟があり、ミゲルはギターを弾くどころか、家で音楽を聞くこともできない。特報では、家族に見つからないよう憧れのミュージシャンデラクルスを真似てこっそりギターを弾くミゲルのシーンからスタートする。ある日、家族から禁じられた音楽への夢を募らせるミゲルが、デラクルスの霊廟に飾られたギター…主人公ミゲルは、音楽が大好きなギターの天才少年。しかし、過去の悲しい出来事がきっかけで彼の一族には「音楽禁止」の厳しい掟があり、ミゲルはギターを弾くどころか、家で音楽を聞くこともできない。特報では、家族に見つからないよう憧れのミュージシャンデラクルスを真似てこっそりギターを弾くミゲルのシーンからスタートする。ある日、家族から禁じられた音楽への夢を募らせるミゲルが、デラクルスの霊廟に飾られたギターを手にしたことをキッカケに、夢のように美しく、まるでテーマパークのような死者の国へ迷い込んでしまう。生きている人間に驚いてしてしまうようなユーモラスなガイコツ達が暮らす国で１人混乱するミゲル。そんな彼が出会ったのはガイコツになったご先祖たち─。果たして彼は無事に元の世界に戻れるのか？すべての謎を解く鍵は、故デラクルスの美しい名曲バラード“リメンバー・ミー”に隠されていた…。イマジネーションの無限の可能性を 追求し、“おもちゃの世界”から“頭の中の世界”を描くことでアニメーションの特別な体験を贈ってきたピクサーが初めて描く、誰も見たことのない死者の世界とは？","2017年","2018-03-16","2018-02-21 09:01:23","2018-02-21 09:01:23"
175,"今夜、ロマンス劇場で","","https://d2ueuvlup6lbue.cloudfront.net/attachments/ed051cfc3f143e40eaf814a0552ec8bfc4c9adb1/store/fitpad/260/364/a796c759e50f372c664cdfe0f5440097714a475a50477b4486de78fd2653/s_JP-mposter-ROM.jpg",108,"モノクロ映画のヒロインと現実世界に生きる青年。出会うはずのなかった２人が出会ったら…それはロマンティックで切ない恋のはじまり。映画監督を夢見る青年・健司（坂口健太郎）は、ある日、通い慣れた映画館のロマンス劇場で１人の女性と出会う。彼女は健司がずっと憧れていた映画のなかのお姫様・美雪（綾瀬はるか）だった！モノクロの映画の世界からカラフルな現実の世界に飛び出した美雪は、色のついた世界を体験していく。…モノクロ映画のヒロインと現実世界に生きる青年。出会うはずのなかった２人が出会ったら…それはロマンティックで切ない恋のはじまり。映画監督を夢見る青年・健司（坂口健太郎）は、ある日、通い慣れた映画館のロマンス劇場で１人の女性と出会う。彼女は健司がずっと憧れていた映画のなかのお姫様・美雪（綾瀬はるか）だった！モノクロの映画の世界からカラフルな現実の世界に飛び出した美雪は、色のついた世界を体験していく。そして次第に惹かれあう２人。しかし、彼女にはある秘密があった……。
“逢いたい”気持ちが奇跡を起こす、ロマンティックで切ないラブストーリーが誕生。","2018年","2018-02-10","2018-02-21 09:01:30","2018-02-21 09:01:30"
176,"ベイビー・ドライバー","Baby Driver","https://d2ueuvlup6lbue.cloudfront.net/attachments/6c074f7d8e7f4db86227ef32cc9b293bde5e12cb/store/fitpad/260/364/7bf62fd0e7aa1ad732916639868688ba34cbc51e2b5e4b2a3c087845ffaf/Baby_Driver_final_0613.jpg",113,"天才的なドライビング・センスを買われ、犯罪組織の“逃がし屋”として活躍する若きドライバー、通称「ベイビー」（アンセル・エルゴート）。彼の最高のテクニックを発揮するための小道具、それは完璧なプレイリストが揃っているiPod。子供のころの事故の後遺症で耳鳴りが激しい彼だが、音楽にノって外界から完璧に遮断されると、耳鳴りは消え、イカれたドライバーへと変貌する。ある日、運命の女の子デボラ（リリー・ジェー…天才的なドライビング・センスを買われ、犯罪組織の“逃がし屋”として活躍する若きドライバー、通称「ベイビー」（アンセル・エルゴート）。彼の最高のテクニックを発揮するための小道具、それは完璧なプレイリストが揃っているiPod。子供のころの事故の後遺症で耳鳴りが激しい彼だが、音楽にノって外界から完璧に遮断されると、耳鳴りは消え、イカれたドライバーへと変貌する。ある日、運命の女の子デボラ（リリー・ジェームズ）と出会ってしまった彼は犯罪現場から足を洗うことを決意。しかし彼の才能を惜しむ組織のボス（ケヴィン・スペイシー）にデボラの存在を嗅ぎ付けられ、無謀な強盗に手を貸すことになり、彼の人生は脅かされ始める――。","2017年","2017-08-19","2018-02-21 09:01:40","2018-02-21 09:01:40"
177,"リバーズ・エッジ","","https://d2ueuvlup6lbue.cloudfront.net/attachments/2a9ac6a65b226d556253ec8cb2361eddc897e75d/store/fitpad/260/364/031b3a6325cdb1e8925c29e7df8e8c79fa83363f16df35404b1ee9454860/77519.jpg",118,"若草ハルナ（二階堂ふみ）は、彼氏の観音崎（上杉柊平）が苛める山田（吉沢亮）を助けたことをきっかけに、夜の河原へ誘われ放置された＜死体＞を目にする。「これを見ると勇気が出るんだ」と言う山田に絶句するハルナ。さらに、宝物として死体の存在を共有しているという後輩でモデルのこずえ（SUMIRE）が現れ、3人は決して恋愛に発展しない特異な友情で結ばれていく。
ゲイであることを隠し街では売春をする山田、そ…若草ハルナ（二階堂ふみ）は、彼氏の観音崎（上杉柊平）が苛める山田（吉沢亮）を助けたことをきっかけに、夜の河原へ誘われ放置された＜死体＞を目にする。「これを見ると勇気が出るんだ」と言う山田に絶句するハルナ。さらに、宝物として死体の存在を共有しているという後輩でモデルのこずえ（SUMIRE）が現れ、3人は決して恋愛に発展しない特異な友情で結ばれていく。
ゲイであることを隠し街では売春をする山田、そんな山田に過激な愛情を募らせるカンナ（森川葵）、暴力の衝動を押さえられない観音崎、大量の食糧を口にしては吐くこずえ、観音崎との体の関係を重ねるハルナの友人ルミ（土居志央梨）。
閉ざされた学校の淀んだ日常の中で、それぞれが爆発寸前の何かを膨らませていた。そうした彼らの愛憎や孤独に巻き込まれ、強くあろうとするハルナもまた、何物にも執着が持てない空虚さを抱えていた。そんなある日、ハルナは新しい死体を見つけたという報せを、山田から受ける・・・。","2018年","2018-02-16","2018-02-21 09:01:48","2018-02-21 09:01:48"
178,"ラ・ラ・ランド","La La Land","https://d2ueuvlup6lbue.cloudfront.net/attachments/5f190241c821d85f58fb91a8d3b035698283f72d/store/fitpad/260/364/f21e83bb9a9abeec2b341bf7959e2e028eb9075693e57c9715ff679ffb77/s_62215_2.jpg",126,"夢追い人が集まる街、ロサンゼルス。映画スタジオのカフェで働くミア＜エマ・ストーン＞は女優を目指していたが、何度オーディションを受けても落ちてばかり。ある日、ミアは場末のバーでピアノを弾くセバスチャン＜ライアン・ゴズリング＞と出会う。彼はいつか自分の店を持ち、本格的なジャズを思う存分演奏したいと願っていた。やがて二人は恋におち、互いの夢を応援し合うが、セバスチャンが生活のために加入したバンドが成功…夢追い人が集まる街、ロサンゼルス。映画スタジオのカフェで働くミア＜エマ・ストーン＞は女優を目指していたが、何度オーディションを受けても落ちてばかり。ある日、ミアは場末のバーでピアノを弾くセバスチャン＜ライアン・ゴズリング＞と出会う。彼はいつか自分の店を持ち、本格的なジャズを思う存分演奏したいと願っていた。やがて二人は恋におち、互いの夢を応援し合うが、セバスチャンが生活のために加入したバンドが成功したことから二人の心はすれ違い始める……。","2016年","2017-02-24","2018-02-21 09:02:02","2018-02-21 09:02:02"
179,"The Beguiled/ビガイルド 欲望のめざめ","The Beguiled","https://d2ueuvlup6lbue.cloudfront.net/attachments/6c14ce2339da4ad33c69d7e1c4b18fe512ca37e8/store/fitpad/260/364/e980606b3151164139592f718b882f61eb4a25c0bc6f2f270f1ecf56590b/67745.jpg",93,"アメリカ南部の世間から隔絶された女子寄宿学園に暮らす美しき女性7人。ある日、負傷した北部の敵兵に遭遇し屋敷へと運び手当をする。女性に対し紳士的でかつ美しい男性と触れ合う中で、誰もが彼に心を奪われていく。しかし、次第に彼女たちは情欲と危険な嫉妬に支配されてしまう。秩序を守るか、欲望を取るか、彼女たちが最後に下した決断とは―ー","2017年","2018-02-23","2018-02-21 09:02:12","2018-02-21 09:02:12"
180,"羊の木","","https://d2ueuvlup6lbue.cloudfront.net/attachments/89ea5e58bf5995dbef6ba27ee80902954cbd535b/store/fitpad/260/364/cae55504d3269add75357032732ab7cc41d4f8f2e799a4f02d2cd26e3ce2/70192.png",126,"さびれた港町・魚深（うおぶか）に移住してきた互いに見知らぬ6人の男女。市役所職員の月末（つきすえ）は、彼らの受け入れを命じられた。一見普通にみえる彼らは、何かがおかしい。やがて月末は驚愕の事実を知る。「彼らは全員、元殺人犯」。
それは、受刑者を仮釈放させ過疎化が進む町で受け入れる、国家の極秘プロジェクトだった。ある日、港で発生した死亡事故をきっかけに、月末の同級生・文をも巻き込み、小さな町の日…さびれた港町・魚深（うおぶか）に移住してきた互いに見知らぬ6人の男女。市役所職員の月末（つきすえ）は、彼らの受け入れを命じられた。一見普通にみえる彼らは、何かがおかしい。やがて月末は驚愕の事実を知る。「彼らは全員、元殺人犯」。
それは、受刑者を仮釈放させ過疎化が進む町で受け入れる、国家の極秘プロジェクトだった。ある日、港で発生した死亡事故をきっかけに、月末の同級生・文をも巻き込み、小さな町の日常の歯車は、少しずつ狂い始める・・・。","2018年","2018-02-03","2018-02-21 09:02:21","2018-02-21 09:02:21"
181,"ルーム","Room","https://d2ueuvlup6lbue.cloudfront.net/attachments/1f6371bc0c420f60edd4bfde1f06e369f6f02809/store/fitpad/260/364/fdc6978193b7946d38a640ae8a0816401f0fda14203f5857e51572182e73/31415.jpg",118,"突然の監禁から 7 年の時が経ち、母は全てを賭けた脱出を決意する。奪われた人 生を取り戻すために、何より〈部屋〉しか知らない息子に、〈本当の世界〉をみせるために―。衝撃に胸をつかれ、生きる輝きに嗚咽が漏れる、世紀の愛の物語。","2015年","2016-04-08","2018-02-21 09:02:31","2018-02-21 09:02:31"
182,"君の名前で僕を呼んで","Call Me by Your Name","https://d2ueuvlup6lbue.cloudfront.net/attachments/687ba05f4f07d40eb811b5075fffd7c45637f9cb/store/fitpad/260/364/f22c19a491b379792f8a6af2d05c9a129efa82203c177a15f41c7d5a1a43/69870.jpg",132,"1983年夏、北イタリアの避暑地で家族と夏を過ごす17歳のエリオは、大学教授の父が招いた24歳の大学院生オリヴァーと出会う。一緒に自転車で街を散策したり、泳いだり、午後を読書や音楽を聴いたりして過ごすうちに、エリオのオリヴァーへの気持ちは、やがて初めて知る恋へと変わっていく。
眩しすぎる太陽の中で、激しく恋に落ちるふたり、しかし夏の終わりとともにオリヴァーが去る日が近づいてくる。","2017年","2018-04-27","2018-02-21 09:02:41","2018-02-21 09:02:41"
