id,movie_id,country_id,"created_at","updated_at"
82,76,1,"2018-02-10 07:27:32","2018-02-10 07:27:32"
83,77,3,"2018-02-10 07:27:32","2018-02-10 07:27:32"
84,77,7,"2018-02-10 07:27:32","2018-02-10 07:27:32"
85,78,2,"2018-02-10 07:27:32","2018-02-10 07:27:32"
86,79,1,"2018-02-10 07:27:32","2018-02-10 07:27:32"
87,80,2,"2018-02-10 07:27:32","2018-02-10 07:27:32"
88,81,2,"2018-02-10 07:27:32","2018-02-10 07:27:32"
89,82,1,"2018-02-10 07:27:32","2018-02-10 07:27:32"
90,83,2,"2018-02-10 07:27:32","2018-02-10 07:27:32"
91,84,2,"2018-02-10 07:27:32","2018-02-10 07:27:32"
92,85,5,"2018-02-10 07:27:32","2018-02-10 07:27:32"
93,86,1,"2018-02-10 07:27:32","2018-02-10 07:27:32"
94,87,5,"2018-02-10 07:27:32","2018-02-10 07:27:32"
95,87,6,"2018-02-10 07:27:32","2018-02-10 07:27:32"
96,88,2,"2018-02-10 07:27:32","2018-02-10 07:27:32"
97,89,1,"2018-02-10 07:27:32","2018-02-10 07:27:32"
98,90,2,"2018-02-10 07:27:32","2018-02-10 07:27:32"
99,91,2,"2018-02-10 07:27:32","2018-02-10 07:27:32"
100,92,2,"2018-02-10 07:27:32","2018-02-10 07:27:32"
101,93,2,"2018-02-10 07:27:32","2018-02-10 07:27:32"
102,94,2,"2018-02-10 07:27:32","2018-02-10 07:27:32"
103,95,2,"2018-02-10 07:27:32","2018-02-10 07:27:32"
104,96,2,"2018-02-10 07:27:32","2018-02-10 07:27:32"
105,97,2,"2018-02-10 07:27:32","2018-02-10 07:27:32"
106,98,2,"2018-02-10 07:27:32","2018-02-10 07:27:32"
107,99,2,"2018-02-10 07:27:32","2018-02-10 07:27:32"
108,100,8,"2018-02-10 07:27:32","2018-02-10 07:27:32"
109,100,18,"2018-02-10 07:27:32","2018-02-10 07:27:32"
110,101,2,"2018-02-10 07:27:32","2018-02-10 07:27:32"
111,102,2,"2018-02-10 07:27:32","2018-02-10 07:27:32"
112,103,2,"2018-02-10 07:27:32","2018-02-10 07:27:32"
113,104,2,"2018-02-10 07:27:32","2018-02-10 07:27:32"
114,105,2,"2018-02-10 07:27:32","2018-02-10 07:27:32"
115,106,2,"2018-02-10 07:27:32","2018-02-10 07:27:32"
116,106,5,"2018-02-10 07:27:32","2018-02-10 07:27:32"
117,107,5,"2018-02-10 07:27:32","2018-02-10 07:27:32"
118,107,7,"2018-02-10 07:27:32","2018-02-10 07:27:32"
119,107,11,"2018-02-10 07:27:32","2018-02-10 07:27:32"
120,108,1,"2018-02-10 07:27:32","2018-02-10 07:27:32"
121,108,5,"2018-02-10 07:27:32","2018-02-10 07:27:32"
122,109,8,"2018-02-10 07:27:32","2018-02-10 07:27:32"
123,109,18,"2018-02-10 07:27:32","2018-02-10 07:27:32"
124,110,2,"2018-02-10 07:27:32","2018-02-10 07:27:32"
125,111,5,"2018-02-10 07:27:32","2018-02-10 07:27:32"
126,112,1,"2018-02-10 07:27:32","2018-02-10 07:27:32"
