id,movie_id,member_id,"created_at","updated_at"
82,1,82,"2018-02-10 07:27:32","2018-02-10 07:27:32"
83,1,83,"2018-02-10 07:27:32","2018-02-10 07:27:32"
84,1,84,"2018-02-10 07:27:32","2018-02-10 07:27:32"
85,1,85,"2018-02-10 07:27:32","2018-02-10 07:27:32"
86,1,86,"2018-02-10 07:27:32","2018-02-10 07:27:32"
87,1,87,"2018-02-10 07:27:32","2018-02-10 07:27:32"
88,1,88,"2018-02-10 07:27:32","2018-02-10 07:27:32"
89,1,89,"2018-02-10 07:27:32","2018-02-10 07:27:32"
90,1,90,"2018-02-10 07:27:32","2018-02-10 07:27:32"
91,1,91,"2018-02-10 07:27:32","2018-02-10 07:27:32"
92,1,92,"2018-02-10 07:27:32","2018-02-10 07:27:32"
93,1,93,"2018-02-10 07:27:32","2018-02-10 07:27:32"
94,1,94,"2018-02-10 07:27:32","2018-02-10 07:27:32"
95,1,95,"2018-02-10 07:27:32","2018-02-10 07:27:32"
96,1,96,"2018-02-10 07:27:32","2018-02-10 07:27:32"
97,1,97,"2018-02-10 07:27:32","2018-02-10 07:27:32"
98,1,98,"2018-02-10 07:27:32","2018-02-10 07:27:32"
99,1,99,"2018-02-10 07:27:32","2018-02-10 07:27:32"
100,1,100,"2018-02-10 07:27:32","2018-02-10 07:27:32"
101,1,101,"2018-02-10 07:27:32","2018-02-10 07:27:32"
102,1,102,"2018-02-10 07:27:32","2018-02-10 07:27:32"
103,1,103,"2018-02-10 07:27:32","2018-02-10 07:27:32"
104,1,104,"2018-02-10 07:27:32","2018-02-10 07:27:32"
105,1,105,"2018-02-10 07:27:32","2018-02-10 07:27:32"
106,1,106,"2018-02-10 07:27:32","2018-02-10 07:27:32"
107,1,107,"2018-02-10 07:27:32","2018-02-10 07:27:32"
108,1,108,"2018-02-10 07:27:32","2018-02-10 07:27:32"
109,1,109,"2018-02-10 07:27:32","2018-02-10 07:27:32"
110,1,110,"2018-02-10 07:27:32","2018-02-10 07:27:32"
111,1,111,"2018-02-10 07:27:32","2018-02-10 07:27:32"
112,1,112,"2018-02-10 07:27:32","2018-02-10 07:27:32"
113,1,113,"2018-02-10 07:27:32","2018-02-10 07:27:32"
114,1,114,"2018-02-10 07:27:32","2018-02-10 07:27:32"
115,1,115,"2018-02-10 07:27:32","2018-02-10 07:27:32"
116,1,116,"2018-02-10 07:27:32","2018-02-10 07:27:32"
117,1,117,"2018-02-10 07:27:32","2018-02-10 07:27:32"
118,1,118,"2018-02-10 07:27:32","2018-02-10 07:27:32"
119,1,119,"2018-02-10 07:27:32","2018-02-10 07:27:32"
120,1,120,"2018-02-10 07:27:32","2018-02-10 07:27:32"
121,1,121,"2018-02-10 07:27:32","2018-02-10 07:27:32"
122,1,122,"2018-02-10 07:27:32","2018-02-10 07:27:32"
123,1,123,"2018-02-10 07:27:32","2018-02-10 07:27:32"
124,1,124,"2018-02-10 07:27:32","2018-02-10 07:27:32"
125,5,23,"2018-02-10 07:27:32","2018-02-10 07:27:32"
126,7,11,"2018-02-10 07:27:32","2018-02-10 07:27:32"
127,10,39,"2018-02-10 07:27:32","2018-02-10 07:27:32"
255,11,125,"2018-02-10 07:27:32","2018-02-10 07:27:32"
256,11,126,"2018-02-10 07:27:32","2018-02-10 07:27:32"
257,11,127,"2018-02-10 07:27:32","2018-02-10 07:27:32"
258,11,128,"2018-02-10 07:27:32","2018-02-10 07:27:32"
259,11,129,"2018-02-10 07:27:32","2018-02-10 07:27:32"
260,11,130,"2018-02-10 07:27:32","2018-02-10 07:27:32"
261,11,131,"2018-02-10 07:27:32","2018-02-10 07:27:32"
262,11,132,"2018-02-10 07:27:32","2018-02-10 07:27:32"
263,11,133,"2018-02-10 07:27:32","2018-02-10 07:27:32"
264,11,134,"2018-02-10 07:27:32","2018-02-10 07:27:32"
265,11,135,"2018-02-10 07:27:32","2018-02-10 07:27:32"
266,11,136,"2018-02-10 07:27:32","2018-02-10 07:27:32"
267,11,137,"2018-02-10 07:27:32","2018-02-10 07:27:32"
268,11,138,"2018-02-10 07:27:32","2018-02-10 07:27:32"
269,12,139,"2018-02-10 07:27:32","2018-02-10 07:27:32"
270,12,140,"2018-02-10 07:27:32","2018-02-10 07:27:32"
271,12,141,"2018-02-10 07:27:32","2018-02-10 07:27:32"
272,12,142,"2018-02-10 07:27:32","2018-02-10 07:27:32"
273,12,143,"2018-02-10 07:27:32","2018-02-10 07:27:32"
274,12,144,"2018-02-10 07:27:32","2018-02-10 07:27:32"
275,12,145,"2018-02-10 07:27:32","2018-02-10 07:27:32"
276,12,146,"2018-02-10 07:27:32","2018-02-10 07:27:32"
277,12,147,"2018-02-10 07:27:32","2018-02-10 07:27:32"
278,12,148,"2018-02-10 07:27:32","2018-02-10 07:27:32"
279,12,149,"2018-02-10 07:27:32","2018-02-10 07:27:32"
280,12,150,"2018-02-10 07:27:32","2018-02-10 07:27:32"
281,12,151,"2018-02-10 07:27:32","2018-02-10 07:27:32"
282,13,152,"2018-02-10 07:27:32","2018-02-10 07:27:32"
283,13,153,"2018-02-10 07:27:32","2018-02-10 07:27:32"
284,13,154,"2018-02-10 07:27:32","2018-02-10 07:27:32"
285,13,155,"2018-02-10 07:27:32","2018-02-10 07:27:32"
286,13,156,"2018-02-10 07:27:32","2018-02-10 07:27:32"
287,13,157,"2018-02-10 07:27:32","2018-02-10 07:27:32"
288,13,158,"2018-02-10 07:27:32","2018-02-10 07:27:32"
289,13,159,"2018-02-10 07:27:32","2018-02-10 07:27:32"
290,13,160,"2018-02-10 07:27:32","2018-02-10 07:27:32"
291,14,166,"2018-02-10 07:27:32","2018-02-10 07:27:32"
292,14,167,"2018-02-10 07:27:32","2018-02-10 07:27:32"
293,14,168,"2018-02-10 07:27:32","2018-02-10 07:27:32"
294,14,169,"2018-02-10 07:27:32","2018-02-10 07:27:32"
295,14,170,"2018-02-10 07:27:32","2018-02-10 07:27:32"
296,14,171,"2018-02-10 07:27:32","2018-02-10 07:27:32"
297,14,172,"2018-02-10 07:27:32","2018-02-10 07:27:32"
298,15,174,"2018-02-10 07:27:32","2018-02-10 07:27:32"
299,15,175,"2018-02-10 07:27:32","2018-02-10 07:27:32"
300,15,176,"2018-02-10 07:27:32","2018-02-10 07:27:32"
301,15,177,"2018-02-10 07:27:32","2018-02-10 07:27:32"
302,15,178,"2018-02-10 07:27:32","2018-02-10 07:27:32"
303,15,179,"2018-02-10 07:27:32","2018-02-10 07:27:32"
304,15,180,"2018-02-10 07:27:32","2018-02-10 07:27:32"
305,16,181,"2018-02-10 07:27:32","2018-02-10 07:27:32"
306,16,182,"2018-02-10 07:27:32","2018-02-10 07:27:32"
307,16,183,"2018-02-10 07:27:32","2018-02-10 07:27:32"
308,16,184,"2018-02-10 07:27:32","2018-02-10 07:27:32"
309,16,185,"2018-02-10 07:27:32","2018-02-10 07:27:32"
310,16,186,"2018-02-10 07:27:32","2018-02-10 07:27:32"
311,16,187,"2018-02-10 07:27:32","2018-02-10 07:27:32"
312,16,188,"2018-02-10 07:27:32","2018-02-10 07:27:32"
313,16,189,"2018-02-10 07:27:32","2018-02-10 07:27:32"
314,16,190,"2018-02-10 07:27:32","2018-02-10 07:27:32"
315,16,191,"2018-02-10 07:27:32","2018-02-10 07:27:32"
316,17,192,"2018-02-10 07:27:32","2018-02-10 07:27:32"
317,17,193,"2018-02-10 07:27:32","2018-02-10 07:27:32"
318,17,194,"2018-02-10 07:27:32","2018-02-10 07:27:32"
319,17,195,"2018-02-10 07:27:32","2018-02-10 07:27:32"
320,17,196,"2018-02-10 07:27:32","2018-02-10 07:27:32"
321,18,197,"2018-02-10 07:27:32","2018-02-10 07:27:32"
322,18,198,"2018-02-10 07:27:32","2018-02-10 07:27:32"
323,18,199,"2018-02-10 07:27:32","2018-02-10 07:27:32"
324,18,200,"2018-02-10 07:27:32","2018-02-10 07:27:32"
325,18,201,"2018-02-10 07:27:32","2018-02-10 07:27:32"
326,18,202,"2018-02-10 07:27:32","2018-02-10 07:27:32"
327,18,203,"2018-02-10 07:27:32","2018-02-10 07:27:32"
328,18,204,"2018-02-10 07:27:32","2018-02-10 07:27:32"
329,18,205,"2018-02-10 07:27:32","2018-02-10 07:27:32"
330,19,206,"2018-02-10 07:27:32","2018-02-10 07:27:32"
331,19,207,"2018-02-10 07:27:32","2018-02-10 07:27:32"
332,19,208,"2018-02-10 07:27:32","2018-02-10 07:27:32"
333,19,209,"2018-02-10 07:27:32","2018-02-10 07:27:32"
334,19,210,"2018-02-10 07:27:32","2018-02-10 07:27:32"
335,19,211,"2018-02-10 07:27:32","2018-02-10 07:27:32"
336,19,212,"2018-02-10 07:27:32","2018-02-10 07:27:32"
337,19,213,"2018-02-10 07:27:32","2018-02-10 07:27:32"
338,19,214,"2018-02-10 07:27:32","2018-02-10 07:27:32"
339,19,215,"2018-02-10 07:27:32","2018-02-10 07:27:32"
340,19,216,"2018-02-10 07:27:32","2018-02-10 07:27:32"
341,19,217,"2018-02-10 07:27:32","2018-02-10 07:27:32"
342,20,218,"2018-02-10 07:27:32","2018-02-10 07:27:32"
343,20,219,"2018-02-10 07:27:32","2018-02-10 07:27:32"
344,20,220,"2018-02-10 07:27:32","2018-02-10 07:27:32"
345,20,221,"2018-02-10 07:27:32","2018-02-10 07:27:32"
346,20,222,"2018-02-10 07:27:32","2018-02-10 07:27:32"
347,20,223,"2018-02-10 07:27:32","2018-02-10 07:27:32"
348,20,224,"2018-02-10 07:27:32","2018-02-10 07:27:32"
349,20,225,"2018-02-10 07:27:32","2018-02-10 07:27:32"
350,20,226,"2018-02-10 07:27:32","2018-02-10 07:27:32"
351,12,16,"2018-02-10 07:27:32","2018-02-10 07:27:32"
352,13,165,"2018-02-10 07:27:32","2018-02-10 07:27:32"
353,17,86,"2018-02-10 07:27:32","2018-02-10 07:27:32"
354,17,144,"2018-02-10 07:27:32","2018-02-10 07:27:32"
355,18,47,"2018-02-10 07:27:32","2018-02-10 07:27:32"
356,21,227,"2018-02-10 07:27:32","2018-02-10 07:27:32"
357,21,228,"2018-02-10 07:27:32","2018-02-10 07:27:32"
358,21,229,"2018-02-10 07:27:32","2018-02-10 07:27:32"
359,21,230,"2018-02-10 07:27:32","2018-02-10 07:27:32"
360,21,231,"2018-02-10 07:27:32","2018-02-10 07:27:32"
361,21,232,"2018-02-10 07:27:32","2018-02-10 07:27:32"
362,21,233,"2018-02-10 07:27:32","2018-02-10 07:27:32"
363,21,234,"2018-02-10 07:27:32","2018-02-10 07:27:32"
364,21,235,"2018-02-10 07:27:32","2018-02-10 07:27:32"
365,21,236,"2018-02-10 07:27:32","2018-02-10 07:27:32"
366,22,237,"2018-02-10 07:27:32","2018-02-10 07:27:32"
367,22,238,"2018-02-10 07:27:32","2018-02-10 07:27:32"
368,22,239,"2018-02-10 07:27:32","2018-02-10 07:27:32"
369,22,240,"2018-02-10 07:27:32","2018-02-10 07:27:32"
370,22,241,"2018-02-10 07:27:32","2018-02-10 07:27:32"
371,22,242,"2018-02-10 07:27:32","2018-02-10 07:27:32"
372,22,243,"2018-02-10 07:27:32","2018-02-10 07:27:32"
373,22,244,"2018-02-10 07:27:32","2018-02-10 07:27:32"
374,22,245,"2018-02-10 07:27:32","2018-02-10 07:27:32"
375,22,246,"2018-02-10 07:27:32","2018-02-10 07:27:32"
376,22,247,"2018-02-10 07:27:32","2018-02-10 07:27:32"
377,22,248,"2018-02-10 07:27:32","2018-02-10 07:27:32"
378,22,249,"2018-02-10 07:27:32","2018-02-10 07:27:32"
