id,"name",status,"created_at","updated_at"
12,"マイケル・グレイシー",0,"2018-02-21 09:00:10","2018-02-21 09:00:10"
13,"ジェニー・ビックス",1,"2018-02-21 09:00:10","2018-02-21 09:00:10"
14,"ビル・コンドン",1,"2018-02-21 09:00:10","2018-02-21 09:00:10"
15,"ヒュー・ジャックマン",2,"2018-02-21 09:00:10","2018-02-21 09:00:10"
16,"ザック・エフロン",2,"2018-02-21 09:00:10","2018-02-21 09:00:10"
17,"ミシェル・ウィリアムズ",2,"2018-02-21 09:00:10","2018-02-21 09:00:10"
18,"レベッカ・ファーガソン",2,"2018-02-21 09:00:10","2018-02-21 09:00:10"
19,"ゼンデイヤ",2,"2018-02-21 09:00:10","2018-02-21 09:00:10"
20,"ポール・スパークス",2,"2018-02-21 09:00:10","2018-02-21 09:00:10"
21,"バイロン・ジェニングス",2,"2018-02-21 09:00:10","2018-02-21 09:00:10"
22,"ベッツィ・アイデム",2,"2018-02-21 09:00:10","2018-02-21 09:00:10"
23,"クリント・イーストウッド",0,"2018-02-21 09:00:19","2018-02-21 09:00:19"
24,"ドロシー・ブリスカル",1,"2018-02-21 09:00:19","2018-02-21 09:00:19"
25,"アンソニー・サドラー",3,"2018-02-21 09:00:19","2018-02-21 09:00:19"
26,"アレク・スカラトス",3,"2018-02-21 09:00:19","2018-02-21 09:00:19"
27,"スペンサー・ストーン",3,"2018-02-21 09:00:19","2018-02-21 09:00:19"
28,"ジェフリー・Ｅ・スターン",3,"2018-02-21 09:00:19","2018-02-21 09:00:19"
29,"アンソニー・サドラー",2,"2018-02-21 09:00:19","2018-02-21 09:00:19"
30,"アレク・スカラトス",2,"2018-02-21 09:00:19","2018-02-21 09:00:19"
31,"スペンサー・ストーン",2,"2018-02-21 09:00:19","2018-02-21 09:00:19"
32,"ゲイリー・ロス",0,"2018-02-21 09:00:24","2018-02-21 09:00:24"
33,"オリヴィア・ミルチ",1,"2018-02-21 09:00:24","2018-02-21 09:00:24"
34,"ゲイリー・ロス",1,"2018-02-21 09:00:24","2018-02-21 09:00:24"
35,"アン・ハサウェイ",2,"2018-02-21 09:00:24","2018-02-21 09:00:24"
36,"サンドラ・ブロック",2,"2018-02-21 09:00:24","2018-02-21 09:00:24"
37,"ケイト・ブランシェット",2,"2018-02-21 09:00:24","2018-02-21 09:00:24"
